,postcode,area,country,country_code,region,district,district_code,lat,long
182,S101SU,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3851,-1.5114
183,S101SW,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3847,-1.5134
184,S101SX,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3852,-1.5095
185,S101SY,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3852,-1.5092
186,S101TA,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3846,-1.5092
187,S101TB,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3845,-1.5108
188,S101TD,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3842,-1.5133
189,S101TE,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3856,-1.5084
190,S101TF,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3865,-1.5077
191,S101TG,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3853,-1.508
192,S101TH,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3866,-1.5073
193,S101UA,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3811,-1.5056
194,S101UB,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3824,-1.5066
195,S101UD,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3839,-1.5083
196,S101UF,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3834,-1.5094
197,S101UG,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3825,-1.5062
198,S101UH,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3837,-1.5078
199,S101UL,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3819,-1.5078
200,S101UN,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3811,-1.5081
201,S101UP,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3813,-1.5068
202,S101UQ,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.382,-1.5066
203,S101UR,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3825,-1.508
204,S101UT,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.383,-1.5094
